timestamp,event_type,window_id,trigger,mode,details,gate_failed,state_snapshot_json
2026-04-19 12:47:03.992,STARTUP,,engine,,Bot starting,,{}
2026-04-19 12:47:03.994,STARTUP,,engine,,All tasks launched,,{}
2026-04-19 12:47:04.031,DATA_STALE,btc-updown-5m-1776602700,DATA_STALE,LOCKDOWN,Hyperliquid no update for 999.0s > 5s,,"{""window_id"": ""btc-updown-5m-1776602700"", ""t_remaining"": 177, ""bot_mode"": ""INIT"", ""session_id"": ""2026-04-19-124703"", ""order_sent"": false}"
2026-04-19 12:47:04.037,LOCKDOWN,,circuit_breaker,LOCKDOWN,"Reason: DATA_STALE, consecutive_losses=0, daily_loss=$0.0000",,{}
2026-04-19 12:47:05.151,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:47:05.586,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:48:04.705,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:48:07.061,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:48:09.042,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:48:10.194,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:48:15.206,WS_RECONNECT,,polymarket,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:48:19.063,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:48:24.148,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:48:25.051,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:48:27.458,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:48:54.475,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:48:59.480,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:49:01.260,WS_RECONNECT,,hyperliquid,,connected,,{}
