session_id,window_id,timestamp,t_remaining_sec,strike_price,hl_price,gap,gap_direction,atr_60m,atr_regime,cvd_60s,cvd_aligned,avg_volume_per_min,poly_up_odds,poly_down_odds,poly_up_ask_depth,poly_down_bid_depth,spread_pct,dual_side_ok,chainlink_age_sec,bot_mode,all_gates_pass,window_result
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:47:09.210,171,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,-0.010900000000000003,False,1.0724,0,0,0,0,0,False,18,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:47:14.226,166,0.0,75450.0,0.0,NEUTRAL,0.0,LOW,-0.08487,False,1.14667,0,0,0,0,0,False,21,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:47:19.237,161,0.0,75454.5,0.0,NEUTRAL,0.0,LOW,-0.07221000000000001,False,1.15987,0,0,0,0,0,False,27,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:47:24.253,156,0.0,75454.5,0.0,NEUTRAL,0.0,LOW,-0.07075000000000001,False,1.16133,0,0,0,0,0,False,31,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:47:29.268,151,0.0,75468.0,0.0,NEUTRAL,0.0,LOW,0.38921,False,1.75685,0,0,0,0,0,False,4,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:47:34.296,146,0.0,75468.5,0.0,NEUTRAL,0.0,LOW,0.6145,False,1.98214,0,0,0,0,0,False,7,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:47:39.384,141,0.0,75468.5,0.0,NEUTRAL,0.0,LOW,1.38793,False,2.77215,0,0,0,0,0,False,14,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:47:44.396,136,0.0,75468.5,0.0,NEUTRAL,0.0,LOW,1.5033,False,2.90126,0,0,0,0,0,False,17,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:47:49.401,131,0.0,75468.0,0.0,NEUTRAL,0.0,LOW,1.06009,False,3.35643,0,0,0,0,0,False,24,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:47:54.411,126,0.0,75464.5,0.0,NEUTRAL,0.0,LOW,0.99716,False,3.41936,0,0,0,0,0,False,28,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:47:59.419,121,0.0,75460.5,0.0,NEUTRAL,0.0,LOW,1.01452,False,3.4398,0,0,0,0,0,False,2,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:04.425,116,0.0,75463.0,0.0,NEUTRAL,0.0,LOW,1.01607,False,3.44135,0,0,0,0,0,False,2,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:09.456,111,0.0,75464.5,0.0,NEUTRAL,0.0,LOW,1.59531,False,4.839058687049761,0,0,0,0,0,False,10,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:14.474,106,0.0,75464.5,0.0,NEUTRAL,0.0,LOW,2.0644,False,4.966027708723027,0,0,0,0,0,False,17,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:19.491,101,0.0,75464.0,0.0,NEUTRAL,0.0,LOW,1.89786,False,5.239824290342629,0,0,0,0,0,False,21,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:24.499,96,0.0,75464.0,0.0,NEUTRAL,0.0,LOW,1.89786,False,5.239824290342629,0,0,0,0,0,False,25,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:29.513,91,0.0,75465.0,0.0,NEUTRAL,0.0,LOW,1.61488,False,5.458638198595555,0,0,0,0,0,False,0,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:34.530,86,0.0,75464.5,0.0,NEUTRAL,0.0,LOW,1.09576,False,5.412154987463567,0,0,0,0,0,False,2,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:39.542,81,0.0,75464.5,0.0,NEUTRAL,0.0,LOW,0.30605,False,5.16745975484025,0,0,0,0,0,False,5,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:44.556,76,0.0,75464.5,0.0,NEUTRAL,0.0,LOW,0.18531999999999996,False,4.988714569233995,0,0,0,0,0,False,10,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:49.626,71,0.0,75464.5,0.0,NEUTRAL,0.0,LOW,0.18960999999999997,False,4.813836801621244,0,0,0,0,0,False,17,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:54.636,66,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,0.16039999999999993,False,4.927842639290143,0,0,0,0,0,False,21,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:48:59.656,61,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,0.09434999999999992,False,4.9254080262560125,0,0,0,0,0,False,26,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:04.666,56,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,-0.2393500000000001,False,4.890097315383746,0,0,0,0,0,False,1,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:09.743,51,0.0,75451.0,0.0,NEUTRAL,0.0,LOW,4.19278,False,7.120226027841418,0,0,0,0,0,False,5,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:14.754,46,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,4.19278,False,7.120226027841418,0,0,0,0,0,False,5,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:19.775,41,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,4.19278,False,7.120226027841418,0,0,0,0,0,False,17,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:24.792,36,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,4.19278,False,7.120226027841418,0,0,0,0,0,False,17,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:29.827,31,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,7.46547,False,7.781044076788441,0,0,0,0,0,False,24,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:34.841,26,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,7.47349,False,7.656275126704031,0,0,0,0,0,False,29,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:39.851,21,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,7.74738,False,7.348900036728716,0,0,0,0,0,False,0,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:44.872,16,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,7.7737300000000005,False,7.185966719435578,0,0,0,0,0,False,5,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:49.885,11,0.0,75450.5,0.0,NEUTRAL,0.0,LOW,7.71271,False,6.993159084993173,0,0,0,0,0,False,9,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:54.899,6,0.0,75427.5,0.0,NEUTRAL,0.0,LOW,7.91618,False,6.719872611954391,0,0,0,0,0,False,14,INIT,False,
2026-04-19-124703,btc-updown-5m-1776602700,2026-04-19 12:49:59.919,1,0.0,75432.5,0.0,NEUTRAL,0.0,LOW,8.17139,False,6.55796828117351,0,0,0,0,0,False,22,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:50:04.948,296,0.0,75432.5,0.0,NEUTRAL,42.0,LOW,8.48664,False,6.3730296831416045,0,0,0,0,0,False,26,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:50:09.962,291,0.0,75443.0,0.0,NEUTRAL,42.0,LOW,4.01855,False,6.379664319787825,0,0,0,0,0,False,30,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:50:14.982,286,0.0,75443.5,0.0,NEUTRAL,42.0,LOW,4.03006,False,6.245176651520962,0,0,0,0,0,False,5,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:50:20.006,280,0.0,75452.5,0.0,NEUTRAL,42.0,LOW,4.26376,False,6.1740595694749185,0,0,0,0,0,False,9,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:50:25.014,275,0.0,75452.5,0.0,NEUTRAL,42.0,LOW,4.26511,False,6.0458075772792,0,0,0,0,0,False,16,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:50:30.025,270,0.0,75450.0,0.0,NEUTRAL,42.0,LOW,0.68315,False,5.938878459633891,0,0,0,0,0,False,19,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:50:35.045,265,0.0,75449.5,0.0,NEUTRAL,42.0,LOW,0.68295,False,5.869961977984628,0,0,0,0,0,False,24,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:50:40.057,260,0.0,75454.0,0.0,NEUTRAL,42.0,LOW,0.67294,False,5.753355035189544,0,0,0,0,0,False,32,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:50:45.080,255,0.0,75456.5,0.0,NEUTRAL,42.0,LOW,0.79827,False,5.682742874672068,0,0,0,0,0,False,1,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:50:50.096,250,0.0,75456.5,0.0,NEUTRAL,42.0,LOW,0.86659,False,5.560929174813596,0,0,0,0,0,False,4,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:50:55.103,245,0.0,75456.5,0.0,NEUTRAL,42.0,LOW,1.00975,False,5.419340415386557,0,0,0,0,0,False,12,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:51:00.123,240,0.0,75456.5,0.0,NEUTRAL,42.0,LOW,0.6369,False,5.421210203019403,0,0,0,0,0,False,15,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:51:05.130,235,0.0,75456.5,0.0,NEUTRAL,42.0,LOW,0.68057,False,5.3448120743831655,0,0,0,0,0,False,22,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:51:10.142,230,0.0,75456.5,0.0,NEUTRAL,42.0,LOW,0.14781999999999998,False,5.252340196600491,0,0,0,0,0,False,25,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:51:15.159,225,0.0,75456.5,0.0,NEUTRAL,42.0,LOW,0.13632,False,5.114891332447991,0,0,0,0,0,False,0,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:51:20.167,220,0.0,75456.5,0.0,NEUTRAL,42.0,LOW,-0.19686,False,5.044245029793764,0,0,0,0,0,False,4,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:51:25.181,215,0.0,75457.0,0.0,NEUTRAL,42.0,LOW,-0.33333999999999997,False,5.047487363282625,0,0,0,0,0,False,9,INIT,False,
2026-04-19-124703,btc-updown-5m-1776603000,2026-04-19 12:51:30.188,210,0.0,75457.0,0.0,NEUTRAL,42.0,LOW,-0.39287,False,4.95218654363232,0,0,0,0,0,False,16,INIT,False,
