session_id,window_id,timestamp_trigger,timestamp_order_sent,timestamp_confirmed,side,strike_price,hl_price_at_trigger,gap_value,gap_threshold_used,atr_regime,cvd_60s,cvd_threshold_used,cvd_threshold_pct,velocity,entry_odds,odds_in_sweet_spot,spread_pct,expected_odds,mispricing_delta,slippage_delta,slippage_threshold_used,blockchain_latency_ms,shares_bought,cost_usdc,result,resolution_price,payout_usdc,pnl_usdc,claim_method,claim_timestamp,mode,bot_version
SES-1776805059,btc-updown-5m-1776816000,2026-04-22 00:01:00.433868+00:00,2026-04-22 00:01:00.433946+00:00,2026-04-22 00:01:00.433955+00:00,UP,0.01,76303.5,-58.36008152000432,15.0,NORM,-445595.2779699884,143316.88409250393,0.0,0.0,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776816000,2026-04-22 00:01:28.772944+00:00,2026-04-22 00:01:28.772965+00:00,2026-04-22 00:01:28.772970+00:00,DOWN,0.01,76297.5,-64.36008152000431,15.0,NORM,274855.0617500118,123255.67469050392,0.0,8.0,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776816300,2026-04-22 00:06:00.143413+00:00,2026-04-22 00:06:00.143495+00:00,2026-04-22 00:06:00.143513+00:00,UP,0.27,76342.0,-74.02964048000285,15.0,NORM,1943388.9901900128,104389.24479050392,0.0,-2.0,0.27,True,0.0,0.27,0.0,0.0,0.0,0,2.0,0.54,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776816300,2026-04-22 00:06:02.554911+00:00,2026-04-22 00:06:02.554941+00:00,2026-04-22 00:06:02.554949+00:00,DOWN,0.27,76342.0,-74.02964048000285,15.0,NORM,1941018.8973400127,104103.53877200391,0.0,0.5,0.27,True,0.0,0.27,0.0,0.0,0.0,0,2.0,0.54,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776816600,2026-04-22 00:11:00.491108+00:00,2026-04-22 00:11:00.491175+00:00,2026-04-22 00:11:00.491183+00:00,UP,0.001,76294.5,-77.98484000000462,15.0,NORM,-2333437.7500899974,133452.52110950355,0.0,0.0,0.001,True,0.0,0.001,0.0,0.0,0.0,0,2.0,0.002,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776816600,2026-04-22 00:11:33.649628+00:00,2026-04-22 00:11:33.649686+00:00,2026-04-22 00:11:33.649705+00:00,DOWN,0.001,76318.5,-29.73692331000348,15.0,NORM,-1045605.8262799968,76750.88596000358,0.0,1.0,0.001,True,0.0,0.001,0.0,0.0,0.0,0,2.0,0.002,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776816900,2026-04-22 00:16:00.049542+00:00,2026-04-22 00:16:00.049613+00:00,2026-04-22 00:16:00.049623+00:00,UP,0.4,76359.5,-55.10000000000582,15.0,NORM,626168.7352200038,75703.90479000355,0.0,3.5,0.4,True,0.0,0.4,0.0,0.0,0.0,0,2.0,0.8,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776816900,2026-04-22 00:16:06.081255+00:00,2026-04-22 00:16:06.081287+00:00,2026-04-22 00:16:06.081295+00:00,DOWN,0.31,76331.5,-83.10000000000582,15.0,NORM,-154162.4329099963,38012.60139050356,0.0,0.5,0.31,True,0.0,0.31,0.0,0.0,0.0,0,2.0,0.62,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776817200,2026-04-22 00:21:00.376188+00:00,2026-04-22 00:21:00.376241+00:00,2026-04-22 00:21:00.376246+00:00,DOWN,0.01,76392.0,-14.629531219994533,15.0,NORM,4164181.5925199976,260241.1722080036,0.0,0.5,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776817200,2026-04-22 00:21:22.708730+00:00,2026-04-22 00:21:22.708759+00:00,2026-04-22 00:21:22.708763+00:00,UP,0.01,76376.0,-65.85000000000582,15.0,NORM,2179145.2916399995,134011.2198190037,0.0,0.5,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776817500,2026-04-22 00:26:00.140757+00:00,2026-04-22 00:26:00.140802+00:00,2026-04-22 00:26:00.140807+00:00,DOWN,0.3,76235.5,-44.73233165999409,15.0,NORM,-5285985.851919993,285161.3224620034,0.0,0.0,0.3,True,0.0,0.3,0.0,0.0,0.0,0,2.0,0.6,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776817500,2026-04-22 00:26:01.345771+00:00,2026-04-22 00:26:01.345803+00:00,2026-04-22 00:26:01.345812+00:00,UP,0.34,76235.0,-45.23233165999409,15.0,NORM,-5352978.861869993,288510.97295950336,0.0,-0.5,0.34,True,0.0,0.34,0.0,0.0,0.0,0,2.0,0.68,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776817800,2026-04-22 00:31:00.261368+00:00,2026-04-22 00:31:00.261412+00:00,2026-04-22 00:31:00.261417+00:00,UP,0.01,76244.5,-69.27043000000413,15.0,NORM,102238.5851700002,60681.64149950338,0.0,0.0,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776818100,2026-04-22 00:36:04.793332+00:00,2026-04-22 00:36:04.793486+00:00,2026-04-22 00:36:04.793503+00:00,UP,0.4,76222.0,-57.086336049993406,15.0,NORM,-2691366.685080003,153689.1403920035,0.0,7.0,0.4,True,0.0,0.4,0.0,0.0,0.0,0,2.0,0.8,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776818100,2026-04-22 00:36:07.201564+00:00,2026-04-22 00:36:07.201596+00:00,2026-04-22 00:36:07.201603+00:00,DOWN,0.39,76222.5,-56.586336049993406,15.0,NORM,-2018452.1521400036,110463.01241700356,0.0,0.0,0.39,True,0.0,0.39,0.0,0.0,0.0,0,2.0,0.78,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776818400,2026-04-22 00:41:00.240274+00:00,2026-04-22 00:41:00.240334+00:00,2026-04-22 00:41:00.240345+00:00,UP,0.01,76314.5,-59.41599999999744,15.0,NORM,306731.6191200163,81873.13780200403,0.0,-5.5,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776818400,2026-04-22 00:41:34.576930+00:00,2026-04-22 00:41:34.577008+00:00,2026-04-22 00:41:34.577017+00:00,DOWN,0.01,76277.5,-63.80363373,15.0,NORM,-567765.2078699834,29675.069677503943,0.0,-0.5,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776818700,2026-04-22 00:46:00.539482+00:00,2026-04-22 00:46:00.539580+00:00,2026-04-22 00:46:00.539595+00:00,UP,0.35,76333.5,-41.30447579000611,15.0,NORM,-185652.98316998177,34677.57236750398,0.0,0.5,0.35,True,0.0,0.35,0.0,0.0,0.0,0,2.0,0.7,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
